round_epochs,val_loss,val_f1,val_categorical_accuracy,loss,f1,categorical_accuracy,visualize_proccess,first_neuron,activation,dropout,number_of_hidden_layers,shapes,epochs,batch_size,model_type
5,0.6086474418640136,0.7735354108810425,0.8155,0.3726613153900419,0.7583279435294015,0.8800357142857143,False,128,relu,0.2,2,funnel,5,64,keras_sdr_tf_idf_model
4,0.55856116604805,0.7744504451751709,0.82575,0.4329859285354614,0.7730439577102661,0.8601071428571428,False,64,relu,0.2,1,funnel,4,32,keras_sdr_tf_idf_model
5,0.568101499080658,0.8076573891639709,0.8235,0.20583125374998365,0.8451984807423183,0.9358214285714286,False,128,tanh,0.2,1,funnel,5,64,keras_sdr_tf_idf_model
5,0.6503066123723984,0.7147886123657227,0.801,0.9340499963760376,0.5338030880519322,0.6948571428571428,False,128,tanh,0.6,2,funnel,5,32,keras_sdr_tf_idf_model
4,0.5490467681884765,0.6848098883628845,0.82825,0.38566266921588355,0.7728153950146266,0.8897857142857143,False,64,tanh,0.2,0,funnel,4,64,keras_sdr_tf_idf_model
7,0.8365899801254273,0.20549623811244966,0.72575,1.1132328198296684,0.34064276599884036,0.5815,False,128,relu,0.6,2,funnel,7,64,keras_sdr_tf_idf_model
7,0.538635524392128,0.7803790111541749,0.83575,0.22722252501334464,0.815904673235757,0.9312857142857143,False,128,tanh,0.6,0,funnel,7,32,keras_sdr_tf_idf_model
7,0.542445601940155,0.7095814437866211,0.8325,0.26711080079419275,0.7728277256148202,0.9238928571428572,False,128,tanh,0.6,0,funnel,7,64,keras_sdr_tf_idf_model
5,0.5839241814613342,0.7619531540870667,0.81525,0.3132060624531337,0.8004461285046168,0.9042857142857142,False,64,tanh,0.2,1,funnel,5,64,keras_sdr_tf_idf_model
5,0.5752650589942933,0.6134698882102966,0.821,0.6895109352043697,0.5582930629934584,0.7773928571428571,False,128,relu,0.6,1,funnel,5,64,keras_sdr_tf_idf_model
5,0.8076766591072082,0.38664490401744844,0.708,1.1888161084992546,0.40701112385732785,0.5619285714285714,False,128,relu,0.6,2,funnel,5,32,keras_sdr_tf_idf_model
7,0.578003006696701,0.7997472128868103,0.82025,0.22242056011515005,0.8288541928700038,0.9298928571428572,False,64,tanh,0.2,1,funnel,7,32,keras_sdr_tf_idf_model
4,0.543527999997139,0.805972424030304,0.83225,0.23947757516588483,0.8516731434549604,0.93325,False,128,tanh,0.2,0,funnel,4,32,keras_sdr_tf_idf_model
5,0.5465919628143311,0.805034095287323,0.826,0.17991637313365935,0.8521512391226632,0.9512857142857143,False,128,tanh,0.2,0,funnel,5,32,keras_sdr_tf_idf_model
4,0.5780620470046997,0.7962886257171631,0.82075,0.5153649275813784,0.7773579978942871,0.838,False,128,tanh,0.6,1,funnel,4,32,keras_sdr_tf_idf_model
4,0.5326555187702179,0.7923391571044922,0.834,0.2757480619592326,0.8369387495177133,0.91875,False,128,relu,0.2,0,funnel,4,32,keras_sdr_tf_idf_model
4,0.5788064994812012,0.7049260215759278,0.82375,0.7011323550769261,0.6293925058501108,0.7764642857142857,False,128,relu,0.6,1,funnel,4,32,keras_sdr_tf_idf_model
4,0.6014748244285584,0.5625933842658997,0.82075,0.8346546149253845,0.543429381779262,0.7328214285714286,False,64,tanh,0.6,1,funnel,4,64,keras_sdr_tf_idf_model
4,0.6510127863883972,0.6510621838569641,0.79625,0.997186853817531,0.5041130360875811,0.6693928571428571,False,128,tanh,0.6,2,funnel,4,64,keras_sdr_tf_idf_model
4,0.536876209974289,0.7413624682426453,0.83075,0.36649241558994566,0.796622789655413,0.8905714285714286,False,64,relu,0.2,0,funnel,4,32,keras_sdr_tf_idf_model
7,0.7946481549739838,0.41636635482311246,0.73225,1.30291515650068,0.35387201871190754,0.5234642857142857,False,64,tanh,0.6,2,funnel,7,32,keras_sdr_tf_idf_model
5,0.8407442836761475,0.19289602822065352,0.70375,1.2422095527648926,0.35546845075062344,0.53525,False,128,relu,0.6,2,funnel,5,64,keras_sdr_tf_idf_model
7,0.8032134714126586,0.305671683549881,0.72275,1.0737638444900512,0.3868628051238401,0.6001785714285715,False,128,relu,0.6,2,funnel,7,32,keras_sdr_tf_idf_model
5,0.5559326748847961,0.4542740864753723,0.83375,0.6251514617374965,0.5626898057801383,0.8211428571428572,False,64,relu,0.6,0,funnel,5,64,keras_sdr_tf_idf_model
7,0.5307015793323517,0.6428037595748901,0.8315,0.44640350697721753,0.6684261747087751,0.8666071428571429,False,64,relu,0.6,0,funnel,7,32,keras_sdr_tf_idf_model
5,0.6023215622901916,0.8030066680908203,0.81,0.29912603921123915,0.8405219020843506,0.9035357142857143,False,128,tanh,0.2,2,funnel,5,32,keras_sdr_tf_idf_model
7,0.6301572132110596,0.7289558501243592,0.80925,0.3790920705795288,0.7558475888116019,0.8859285714285714,False,64,tanh,0.2,2,funnel,7,64,keras_sdr_tf_idf_model
5,0.5651663739681244,0.8065595288276672,0.8175,0.17739522132064614,0.8625084550721305,0.9443214285714285,False,128,tanh,0.2,1,funnel,5,32,keras_sdr_tf_idf_model
